USH1C CDH23 1.0
EXOC2 EXOC1 1.0
EXOC2 EXOC7 1.0
EXOC2 EXOC3 1.0
EXOC2 EXOC5 1.0
EXOC2 EXOC8 1.0
EXOC2 EXOC4 1.0
EXOC2 EXOC6 1.0
TRAPPC6A TRAPPC1 1.0
TRAPPC6A TRAPPC5 1.0
TRAPPC1 TRAPPC2 1.0
TRAPPC1 TRAPPC5 1.0
TRAPPC1 TRAPPC3 1.0
TRAPPC5 TRAPPC8 1.0
TRAPPC5 TRAPPC9 1.0
TRAPPC5 TRAPPC2 1.0
TRAPPC5 TRAPPC4 1.0
TRAPPC5 TRAPPC3 1.0
CRY1 PER2 1.0
CRY1 CLOCK 1.0
CRY1 ARNTL 1.0
CRY1 PER1 1.0
PER2 CRY2 1.0
CLOCK CRY2 1.0
CLOCK ARNTL 1.0
ARNTL CRY2 1.0
ERCC1 RAD1 1.0
ERCC1 XPA 1.0
ERCC1 MUS81 1.0
ERCC1 ERCC4 1.0
RAD1 HUS1 1.0
RAD1 RAD9A 1.0
RB1CC1 ATG13 1.0
RB1CC1 ULK1 1.0
ATG13 ULK1 1.0
ATG13 ATG101 1.0
ULK1 ATG101 1.0
PSMA4 PSMB9 1.0
PSMA4 PSMC5 1.0
PSMA4 PSMC2 1.0
PSMA4 PSMD11 1.0
PSMA4 PSMD4 1.0
PSMA4 PSMB4 1.0
PSMA4 PSMA6 1.0
PSMA4 PSMB1 1.0
PSMA4 PSMC4 1.0
PSMA4 PSMD6 1.0
PSMA4 PSMA1 1.0
PSMA4 PSMB7 1.0
PSMA4 PSMC6 1.0
PSMA4 PSMA2 1.0
PSMA4 PSMA3 1.0
PSMA4 PSMB2 1.0
PSMA4 PSMD1 1.0
PSMA4 PSMB3 1.0
PSMA4 PSMB6 1.0
PSMA4 PSMC3 1.0
PSMA4 PSMD8 1.0
PSMA4 PSMD3 1.0
PSMA4 PSMD12 1.0
PSMA4 PSMB10 1.0
PSMA4 PSMD13 1.0
PSMA4 PSMA5 1.0
PSMA4 PSMD7 1.0
PSMA4 PSMD14 1.0
PSMA4 PSMB8 1.0
PSMA4 PSMA7 1.0
PSMA4 PSMC1 1.0
PSMA4 PSMD2 1.0
PSMA4 PSMB5 1.0
PSMB9 PSMA3 1.0
